city,infra_cyclable_km,infra_cyclable_km_per_km2
Bordeaux,323.07,6.54
Marseille,221.84,0.922
Nantes,353.32,5.419
Lyon,406.12,8.478
Rennes,257.81,5.115
Lille,252.65,7.26
La Roche-sur-Yon,,
Paris,1173.58,11.135
Belfort,43.91,2.218
Toulouse,640.7,5.416
Vichy,38.71,7.169
Brest,120.95,2.468
Angers,,
Besançon,146.29,2.254
Strasbourg,354.53,4.528
Nancy,101.13,6.742
Périgueux,,
Amiens,179.94,3.657
Carcassonne,34.88,0.537
Auray,16.15,0.431
Grenoble,,
Argelès-sur-Mer,,
Bourg-en-Bresse,71.96,1.297
La Baule,,
Épinal,31.01,1.119
Cergy-Pontoise,61.91,3.498
Dijon,,
Longwy,,
Saint-Brieuc,80.12,2.283
Clermont-Ferrand,128.24,3.003
Landerneau,,
Libourne,37.92,3.869
Mulhouse,139.22,6.271
Niort,115.03,1.086
Troyes,47.62,2.976
PAU,109.86,3.488
Louviers,12.48,1.642
Calais,77.75,3.161
Les Sables-d'Olonne,,
Montpellier,,
Soissons,23.37,1.399
Reims,191.1,4.083
Auxerre,4.14,0.179
Agen,54.53,0.863
Cholet,71.44,0.816
Valence,117.26,3.195
Caen,124.33,4.914
Brive-la-Gaillarde,47.74,0.693
Chantrerie,,
Avignon,179.5,2.774
Laon,10.41,0.441
Pointe-à-Pitre,,
Royan,29.77,1.071
Annecy,127.89,1.917
Ardenne Métropole,68.68,1.487
Saint-Étienne,84.14,1.053
Cherbourg-en-Cotentin,67.53,0.808
La Réunion,,
Tarbes,27.02,1.103
Saint-Nazaire,,
Châtellerault,,
Montreuil-Bellay,,
