hour,total_trips,unique_od_pairs,max_flow,mean_flow,std_flow
0,23.814363143631432,2135,0.4363143631436314,0.011154268451349618,0.02491031260233076
1,26.588075880758808,2201,0.44037940379403795,0.012079998128468336,0.02966026873201033
2,18.0,1860,0.3089430894308943,0.00967741935483871,0.022529387832556154
3,13.451219512195122,1636,0.2696476964769648,0.008222016816745184,0.01906636170305754
4,9.594850948509485,1453,0.1951219512195122,0.006603476220584642,0.013230986371205075
5,5.880758807588076,1043,0.27235772357723576,0.005638311416671213,0.012603748392677035
6,7.703252032520325,1069,0.17750677506775067,0.00720603557766167,0.014565517053379676
7,22.96747967479675,1908,0.3617886178861789,0.012037463141927017,0.027374753938401275
8,45.02574525745258,2482,0.4051490514905149,0.018140912674235527,0.033509893630762504
9,34.15718157181571,2491,0.43224932249322495,0.013712236680777083,0.02612290464859004
10,30.020325203252032,2478,1.1287262872628727,0.012114739791465712,0.03247977669997483
11,31.569105691056908,2489,1.665311653116531,0.012683449454020453,0.04380073330767416
12,38.78048780487805,2674,2.345528455284553,0.014502800226207199,0.05427118830161743
13,37.81436314363144,2660,2.989159891598916,0.014215925993846405,0.06457514039661183
14,38.0420054200542,2657,3.831978319783198,0.014317653526554085,0.0800144637092064
15,38.40243902439024,2697,3.4065040650406506,0.014238946616384961,0.07193849481932495
16,41.44579945799458,2688,2.597560975609756,0.015418824203122985,0.059806014839811183
17,50.762872628726285,2796,2.0338753387533877,0.018155533844322707,0.054502267467032225
18,49.230352303523034,2808,1.584010840108401,0.017532176746268887,0.04865547214748902
19,41.49186991869919,2676,1.2547425474254743,0.015505183078736617,0.041235231659753506
20,33.82655826558266,2457,0.8346883468834688,0.013767422981515126,0.034458739859677824
21,28.20460704607046,2354,0.5298102981029811,0.011981566289749558,0.02666189634721062
22,29.764227642276424,2387,0.45934959349593496,0.012469303578666286,0.027106563572706542
23,27.020325203252032,2256,0.47560975609756095,0.011977094504987603,0.026021758248835264
