Station_Name,In_Degree,Out_Degree,Total_Degree,Weighted_In_Degree,Weighted_Out_Degree,Clustering_Coefficient,Triangles,Is_Articulation_Point
Comédie,56,54,110,3713,3708,0.9318181818181818,1435,False
Parvis Jules Ferry - Gare Saint-Roch,55,54,109,1596,1594,0.9629629629629629,1430,False
Halles Castellane,55,54,109,1872,1888,0.9629629629629629,1430,False
Richter,54,55,109,1653,1651,0.9629629629629629,1430,False
Rue Jules Ferry - Gare Saint-Roch,55,54,109,2423,2424,0.9636363636363636,1431,False
Fac de Lettres,54,54,108,2788,2795,0.9965059399021663,1426,False
Foch,54,54,108,1482,1482,0.9965059399021663,1426,False
Corum,54,54,108,2732,2720,0.9636363636363636,1431,False
Boutonnet,54,54,108,3585,3571,0.9965059399021663,1426,False
Plan Cabanes,54,54,108,2324,2328,0.9965059399021663,1426,False
Nombre d'Or,53,55,108,1866,1874,0.9318181818181818,1435,False
Père Soulas,54,54,108,1790,1789,0.9965059399021663,1426,False
Pérols Etang de l'Or,54,54,108,1996,1922,0.9636363636363636,1431,False
Observatoire,54,54,108,2166,2178,0.9965059399021663,1426,False
FacdesSciences,53,54,107,2927,2940,0.9965059399021663,1426,False
Gambetta,54,53,107,988,993,0.9965059399021663,1426,False
Renouvier,53,54,107,1619,1617,0.9965059399021663,1426,False
Louis Blanc,53,54,107,2728,2725,0.9965059399021663,1426,False
Médiathèque Emile Zola,53,54,107,2740,2729,0.9965059399021663,1426,False
Charles Flahault,53,54,107,1085,1083,0.9965059399021663,1426,False
Antigone centre,53,54,107,1867,1861,0.9636363636363636,1431,False
Hôtel de Ville,53,54,107,1886,1881,0.9965059399021663,1426,False
Vert Bois,54,53,107,1894,1909,0.9965059399021663,1426,False
Saint-Guilhem - Courreau,53,54,107,1620,1619,0.9965059399021663,1426,False
Albert 1er - Cathédrale,53,54,107,1278,1280,0.9965059399021663,1426,False
Port Marianne,53,54,107,2639,2622,0.9965059399021663,1426,False
Place Viala,53,54,107,1677,1674,0.9965059399021663,1426,False
Place Albert 1er - St Charles,53,54,107,3347,3344,0.9965059399021663,1426,False
Rondelet,54,53,107,1081,1090,0.9965059399021663,1426,False
Nouveau Saint-Roch,54,53,107,1134,1129,0.9965059399021663,1426,False
Pont de Lattes - Gare Saint-Roch,53,53,106,1120,1124,0.9965059399021663,1426,False
Occitanie,53,53,106,2462,2460,0.9965059399021663,1426,False
Sabines,53,53,106,862,863,0.9965059399021663,1426,False
Comedie Baudin,52,54,106,689,687,0.9965059399021663,1426,False
Aiguelongue,52,54,106,1112,1111,0.9965059399021663,1426,False
Beaux-Arts,53,53,106,702,703,0.9965059399021663,1426,False
Les Arceaux,54,52,106,1166,1165,0.9965059399021663,1426,False
Voltaire,52,53,105,1186,1182,0.9965059399021663,1426,False
Jardin de la Lironde,53,52,105,839,839,0.9965059399021663,1426,False
Tonnelles,52,53,105,811,808,0.9965059399021663,1426,False
Celleneuve,52,52,104,721,720,0.9965059399021663,1426,False
Sud De France,51,53,104,605,610,0.997822931785196,1375,False
Emile Combes,53,49,102,730,727,0.9965059399021663,1426,False
Garcia Lorca,49,53,102,902,898,0.9965059399021663,1426,False
Marie Caizergues,50,51,101,677,665,0.9970972423802612,1374,False
Hôtel du Département,51,50,101,567,563,0.9965059399021663,1426,False
Providence - Ovalie,52,48,100,392,393,0.997822931785196,1375,False
Les Aubes,48,52,100,819,822,0.9965059399021663,1426,False
Cité Mion,51,49,100,557,557,0.997737556561086,1323,False
Jeu de Mail des Abbés,48,52,100,765,760,0.997822931785196,1375,False
Malbosc,51,48,99,582,583,0.9965059399021663,1426,False
Prés d'Arènes,47,51,98,627,625,0.9970972423802612,1374,False
Jean de Beins,44,49,93,394,395,0.997822931785196,1375,False
Euromédecine,47,41,88,267,265,0.997737556561086,1323,False
AtelierTAM,54,33,87,568,628,0.9965059399021663,1426,False
55-053 Deux Ponts - Gare Saint-Roch,2,4,6,3,9,1.0,10,False
Perols etang or,0,6,6,0,39,1.0,15,False
