Station_Name,iris_name,density
Comédie,['Comédie'],0.0
Rue Jules Ferry - Gare Saint-Roch,['Pont de Sète'],0.0
Foch,['Préfecture'],0.0
Fac de Lettres,['Vert Bois'],0.0
Saint-Guilhem - Courreau,['Peyrou'],0.0
Place Albert 1er - St Charles,['École Normale'],0.0
Place Viala,['Agriculture'],0.0
Les Arceaux,['Assas'],0.0
Euromédecine,['Euromédecine'],0.0
FacdesSciences,['Vert Bois'],0.0
Albert 1er - Cathédrale,['Ursulines'],0.0
Charles Flahault,['Fac de Pharmacie'],0.0
Médiathèque Emile Zola,"[""Place de l'Europe""]",0.0
Nombre d'Or,"[""Nombre d'Or""]",0.0
Boutonnet,['École Normale'],0.0
Observatoire,['Peyrou'],0.0
Nouveau Saint-Roch,['Sabathé'],0.0
Rondelet,['Saint-Denis'],0.0
Plan Cabanes,['Peyrou'],0.0
Tonnelles,['Le Petit Bard'],0.0
Beaux-Arts,['Beaux-Arts'],0.0
Parvis Jules Ferry - Gare Saint-Roch,['Pont de Sète'],0.0
Louis Blanc,['Ursulines'],0.0
Renouvier,['Chaptal'],0.0
Père Soulas,['Lapeyronie'],0.0
Aiguelongue,['Aiguelongue'],0.0
Jeu de Mail des Abbés,['Beaux-Arts'],0.0
Voltaire,['Méditerrannée'],0.0
Hôtel du Département,['Pilory'],0.0
Richter,['La Lironde'],0.0
Emile Combes,['Verdanson'],0.0
Cité Mion,['Mion'],0.0
Les Aubes,['Les Aubes'],0.0
Vert Bois,['Vert Bois'],0.0
Malbosc,['Malbosc'],0.0
Jean de Beins,"[""Nombre d'Or""]",0.0
Pont de Lattes - Gare Saint-Roch,['Pont de Sète'],0.0
Occitanie,['Occitanie'],0.0
Antigone centre,"[""Nombre d'Or""]",0.0
Celleneuve,['Celleneuve'],0.0
Corum,['Verdanson'],0.0
Port Marianne,['Port Marianne'],0.0
Sud De France,"[""Nombre d'Or""]",0.0
Gambetta,['Gambetta'],0.0
AtelierTAM,['Parc Montcalm'],0.0
Jardin de la Lironde,['Port Marianne'],0.0
Halles Castellane,['Préfecture'],0.0
Pérols Etang de l'Or,,
Hôtel de Ville,['La Rauze'],0.0
Sabines,['Marquerose'],0.0
Comedie Baudin,['Comédie'],0.0
Providence - Ovalie,['Bagatelle'],0.0
Garcia Lorca,['Tournezy'],0.0
Prés d'Arènes,['Mion'],0.0
Marie Caizergues,['Archives Départementales'],0.0
Deux Ponts - Gare Saint-Roch,['Pont de Sète'],0.0
Perols etang or,,
