numero,nom,type,population_2009,densite_hab_km2,revenu_fiscal_moyen_menage,transport_deux_roues_velo_pct,transport_marche_a_pied_pct,transport_voiture_camion_pct,transport_transport_commun_pct,equipement_pas_de_voiture_pct
,Centre,quartier,75286.53117,9340.760691066997,28854.02450739825,10.23563559744178,21.7180129181581,42.57793252212399,21.41137221361219,39.48804157490829
,Croix d'Argent,quartier,,4299.494310998735,27524.0,8.10628114759162,6.74145497655935,66.30895806490777,16.33957893896007,19.96853883455411
,Cévennes,quartier,,5218.886198547216,28476.0,8.28858911322578,6.19728272698649,67.32176690221632,15.33497371801312,19.58055958041495
,Hôpitaux-Facultés,quartier,39612.0,3089.8595943837754,,7.80164524216338,8.10710040145331,63.33137215456387,18.300970855874173,25.157681948083287
,Mosson,quartier,,5639.60396039604,19384.0,3.53234347806724,4.19230447727249,65.75868588845185,23.77410310061652,10.62793850178431
,Port Marianne,quartier,17802.0,1598.02513464991,27916.0,6.70210386871278,10.47807987527071,61.81481440046106,18.271760177443188,21.93188377323538
,Près d'Arènes,quartier,,4174.626865671642,27593.0,8.75415821600496,7.749027578183861,64.7035729963255,16.86789502689735,21.28829548134073
1.0,Hôpitaux-Facultés,sous-quartier,27726.0,4258.986175115208,,7.44877909156742,8.64071838072603,61.89864989043091,19.58271028317269,28.30601173002717
2.0,Aiguelongue,sous-quartier,,2399.253731343284,,8.50062364389306,7.29064248450452,64.65280460414127,16.714618929724,19.15833127963072
3.0,Plan des 4 seigneurs,sous-quartier,,978.6026200873364,,8.66395819093041,5.66771772026724,73.99021164033967,10.6729052840916,11.75158696106099
4.0,Paillade,sous-quartier,,5043.478260869566,,1.38496146801579,4.815969481080231,61.740290498803674,28.381673171019063,31.474926107568407
5.0,Hauts de Massane,sous-quartier,10173.0,6692.763157894737,21723.0,4.11116063113656,3.1821935293870096,66.3607138878626,23.89801458681804,22.2488880606486
6.0,Celleneuve,sous-quartier,,5697.402597402597,23404.0,5.96762426114621,4.7429878365133895,71.03461246179839,16.50818853438932,20.6917946506289
7.0,Alco,sous-quartier,,9984.433962264153,22589.0,7.17089823177873,5.88460589051916,66.64163199259899,17.42266804812405,23.782259152009182
8.0,Cévennes,sous-quartier,,4971.022727272727,30759.0,9.66702705206399,10.674741816207991,62.37076648532786,14.146227355858091,18.55941377562813
9.0,Martelle,sous-quartier,7142.055199,2245.929307861635,39332.0,8.38625496954026,2.74939178611587,75.96645139459311,10.272268520848051,7.546348669105769
10.0,Chamberte,sous-quartier,6049.611937,5041.343280833334,31491.0,9.58383517980786,4.87633111028882,65.69144750256221,17.19184397459183,19.07431371136038
11.0,Estanove,sous-quartier,7764.658856,5429.831367832168,32241.0,9.169109947679601,9.18312763290549,68.02670665216495,10.71074697446889,16.20905386117491
12.0,Lemasson,sous-quartier,,8659.016393442624,26252.0,7.43166175445448,8.61538850899628,60.903565765471654,19.97601065880951,26.175679081909
13.0,Croix d'Argent,sous-quartier,,2495.121951219512,27567.0,7.689015690899879,4.8888430489583,67.50055574058217,18.51842985653439,16.997575649892347
14.0,Pas du Loup,sous-quartier,6473.47468,4123.232280254777,31749.0,8.41794261453223,3.49717281846009,70.64442727297427,14.638053293713979,17.35561731971737
15.0,Saint Martin,sous-quartier,,7384.883720930233,28235.0,8.08939956705167,6.73209480113301,67.85347813281638,15.785437874052361,26.000869107455237
16.0,Aiguerelles,sous-quartier,,4728.75,31986.0,9.0185371453827,9.37486093804784,62.00551777826519,17.484378394461437,17.31872370755703
17.0,Près d'Arènes,sous-quartier,,1835.897435897436,19686.0,9.307590984503621,5.57439054568371,65.65634782883785,17.30902312927181,20.97935857011544
18.0,Port Marianne,sous-quartier,,173.7862382116661,24823.0,6.10285855284742,12.234047882013991,55.96084616767428,22.72432674435663,26.69496810719054
19.0,Millénaire-Grammont,sous-quartier,,995.0124688279302,30669.0,6.00298033319719,9.94842302851651,73.47524112492509,8.728805545379501,9.464491033735591
20.0,Gares,sous-quartier,,14189.285714285714,24781.0,7.03925733781864,25.730896249021562,37.09732077375325,25.95353240791033,11.264946212646409
21.0,Pompignane,sous-quartier,,1569.1056910569107,31362.0,9.53381053407015,5.6276155258898894,64.7555105268799,16.936154750971717,19.79268454313506
22.0,Aubes,sous-quartier,,5091.566265060241,29590.0,15.00155586683079,9.644611362779939,57.767350207812385,13.156538801249528,20.56241978649041
23.0,Boutonnet,sous-quartier,,,32469.0,10.94060531651642,16.27572943264442,48.124613802394514,20.930948092838182,29.52340182648402
24.0,Beaux Arts,sous-quartier,,7780.672268907563,29787.0,10.41059706122083,15.89418564258642,52.875029478660764,18.446645956611228,31.81056952801708
25.0,Centre Historique,sous-quartier,9033.0,13896.923076923076,26959.568331692917,8.37796636819898,31.66425559784787,26.922620752530293,28.443950769050343,59.334769670474344
26.0,Gambetta,sous-quartier,,,26505.0,11.03194141645296,28.153085968159843,35.1850051581755,21.50634067727662,33.1907513127854
27.0,Antigone,sous-quartier,,7837.5,29978.0,7.15210872361349,19.138564048431288,45.78323462955254,23.97485436289536,33.66250669727436
28.0,Figuerolles,sous-quartier,,,24289.0,13.097883436691978,19.53719418081742,48.63473447300073,14.71892122024006,33.287144658242376
29.0,Arceaux,sous-quartier,4545.0,7836.206896551725,35904.0,16.683768843464588,18.36983368202414,49.47644995858932,11.2952834767914,31.2035587775704
30.0,Comédie,sous-quartier,4337.954517,12758.689755882351,31383.67,5.25139738562465,31.883471667844383,24.9651548420502,30.57262991391878,54.01362937230325
