Station_Name,k_core,Quartier,latitude,longitude
Aiguelongue,56,Hôpitaux-Facultés,43.636472,3.8823753
Albert 1er - Cathédrale,56,Centre,43.6148176,3.8737832
Antigone centre,56,Centre,43.6079062,3.8904657
AtelierTAM,56,Croix d'Argent,43.5934,3.8585
Beaux-Arts,56,Centre,43.6169338,3.8834353
Boutonnet,56,Centre,43.6199984,3.8678033
Celleneuve,56,Mosson,43.6137045,3.8245262
Charles Flahault,56,Centre,43.6187686,3.8659891
Cité Mion,56,Prés d'Arènes,43.6011431,3.8844511
Clemenceau,56,,,
Comedie Baudin,56,Centre,43.6085548,3.8811936
Comédie,56,Centre,43.6091864,3.8815041
Corum,56,Centre,43.6141888,3.8818829
Deux Ponts - Gare Saint-Roch,56,,,
Emile Combes,56,Centre,43.6167422,3.8799722
Esplanade,56,,,
Euromédecine,56,Hôpitaux-Facultés,43.6419736,3.8375497
Fac de Lettres,56,Hôpitaux-Facultés,43.6353331,3.8687709
FacdesSciences,56,Hôpitaux-Facultés,43.633469,3.863365
Foch,56,Centre,43.6109947,3.8733344
Gambetta,56,Centre,43.6041258,3.8730462
Garcia Lorca,56,Prés d'Arènes,43.5877543,3.8871086
Halles Castellane,56,Centre,43.6101245,3.8768434
Hôtel de Ville,56,Prés d'Arènes,43.5985194,3.8966319
Hôtel du Département,56,Les Cévennes,43.6218482,3.8350214
Jardin de la Lironde,56,Port Marianne,43.6058517,3.9115715
Jean de Beins,55,Centre,43.6096975,3.8845248
Jeu de Mail des Abbés,56,Centre,43.6204066,3.8840474
Les Arceaux,56,Centre,43.6126513,3.8632773
Les Aubes,56,Centre,43.6192157,3.8913335
Louis Blanc,56,Centre,43.614645,3.8776294
Malbosc,56,Hôpitaux-Facultés,43.6333264,3.8310425
Marie Caizergues,56,Centre,43.619655,3.8733067
Médiathèque Emile Zola,56,Centre,43.6082468,3.8930561
Nombre d'Or,56,Centre,43.6079002,3.8866534
Nouveau Saint-Roch,56,Croix d'Argent,43.5992903,3.8756446
Observatoire,56,Centre,43.6145267,3.8710807
Occitanie,56,Hôpitaux-Facultés,43.6343515,3.8486697
Odysseum,56,,,
Parvis Jules Ferry - Gare Saint-Roch,56,Centre,43.605325,3.881229
Place Albert 1er - St Charles,56,Centre,43.6166028,3.8739949
Place Viala,56,Les Cévennes,43.6168167,3.8550842
Plan Cabanes,56,Centre,43.6084996,3.868611
Pont de Lattes - Gare Saint-Roch,56,Centre,43.60438,3.88216
Port Marianne,56,Port Marianne,43.6059165,3.9168169
Providence - Ovalie,56,Croix d'Argent,43.5882994,3.8534561
Prés d'Arènes,56,Prés d'Arènes,43.5936317,3.8877518
Père Soulas,56,Hôpitaux-Facultés,43.6219699,3.855618
Pérols Etang de l'Or,56,,43.5579564,3.9636474
Renouvier,56,Centre,43.6031881,3.8678316
Richter,56,Port Marianne,43.6056173,3.8995795
Rondelet,56,Centre,43.6041463,3.8748308
Rue Jules Ferry - Gare Saint-Roch,56,Centre,43.6053253,3.8812294
Sabines,56,Croix d'Argent,43.583879,3.8601051
Saint-Denis,56,,,
Saint-Guilhem - Courreau,56,Centre,43.6089424,3.8727765
Sud De France,56,Centre,43.6092765,3.8895111
Tonnelles,56,Les Cévennes,43.6151527,3.8394759
Vert Bois,56,Hôpitaux-Facultés,43.6354897,3.8717793
Voltaire,56,Centre,43.6037185,3.8889694
Station SAV,2,,,
Station SAV Smoove,4,,,
Perols etang or,16,,43.5584733,3.9633257
Smoove,1,,,
