hour,rugosite_moy,volume
0,1.3893540732404126,17564
1,1.372370933402475,19831
2,1.3515775712550995,16018
3,1.3416332420658006,13512
4,1.3527813739413754,10175
5,1.3537382595147993,5795
6,1.3742260265822037,4769
7,1.3860815153532255,12150
8,1.3983340551187118,24500
9,1.3996632772872226,19996
10,1.4213072677321152,18271
11,1.430823527040487,19023
12,1.4245576822694859,22883
13,1.427091840024856,21801
14,1.4248294671019524,22073
15,1.42894064390611,22561
16,1.4245288060782857,23655
17,1.4180816585350802,28740
18,1.422055762509905,27553
19,1.4232136868939118,23950
20,1.4238530305718766,20269
21,1.4240949220560657,17387
22,1.4042124213532907,18885
23,1.394485108762272,18094
