dep_quartier,ret_quartier,trips_sum,rug_max,rug_min,pairs_cnt,rugosite_moy
Centre,Centre,166631,10.745827534127171,0.0,872,1.6054289925559029
Centre,Croix d'Argent,10317,2.665388709815313,1.087360061640936,120,1.537526782067328
Centre,Hôpitaux-Facultés,54902,1.6666221603369769,1.006963497410527,240,1.2159420981089226
Centre,Les Cévennes,12450,1.6173580668758492,1.1102355988429415,89,1.2387150154082731
Centre,Mosson,1763,1.2988546658505795,1.0779826696931278,30,1.1537636264717641
Centre,Port Marianne,20854,1.584371921934005,1.080009071708366,90,1.2823415311620334
Centre,Prés d'Arènes,14695,2.2153891428750767,1.0703244460234018,120,1.4253527274535023
Croix d'Argent,Centre,8584,1.8905711388208155,0.9880283706042025,118,1.2593893104958611
Croix d'Argent,Croix d'Argent,1289,1.5569290930703246,1.161466849879215,12,1.356578875450713
Croix d'Argent,Hôpitaux-Facultés,1577,1.3865034742164366,1.0811705582517783,30,1.2091338516559031
Croix d'Argent,Les Cévennes,573,1.416337096325469,1.1343409310833232,12,1.255235844901685
Croix d'Argent,Mosson,166,1.310034615520454,1.0669551668626345,4,1.2141809367728664
Croix d'Argent,Port Marianne,923,1.2912064611491196,1.16171754202342,11,1.2028464398647596
Croix d'Argent,Prés d'Arènes,1578,1.5819049205278073,0.9940272088708167,15,1.2775799164526658
Hôpitaux-Facultés,Centre,50972,1.6620094746464331,1.0001018903955032,237,1.2200858107531876
Hôpitaux-Facultés,Croix d'Argent,1576,1.4477333882733945,1.128225207502397,32,1.270218916834443
Hôpitaux-Facultés,Hôpitaux-Facultés,16900,1.9998595536031645,1.1433825040088956,56,1.3994023619402312
Hôpitaux-Facultés,Les Cévennes,2741,1.793939720510319,1.115268993652225,24,1.419244071289623
Hôpitaux-Facultés,Mosson,369,1.3391578363008931,1.148895729318961,8,1.2836735926953122
Hôpitaux-Facultés,Port Marianne,1814,1.4251611941507023,1.1577270891477391,24,1.2663516968745123
Hôpitaux-Facultés,Prés d'Arènes,1131,1.4524446610320307,1.044955879038494,32,1.2330312278040172
Les Cévennes,Centre,10482,1.621578932143301,1.085322294844243,88,1.2393682494799876
Les Cévennes,Croix d'Argent,446,1.4882889187656605,1.1076211317707485,12,1.3275552302479523
Les Cévennes,Hôpitaux-Facultés,3371,1.972246879802929,1.086698897343385,24,1.4257792825642652
Les Cévennes,Les Cévennes,609,1.351386280143423,1.232081247359884,6,1.2995415552131404
Les Cévennes,Mosson,227,1.2889502091984149,1.1876191483047658,3,1.2321756165962985
Les Cévennes,Port Marianne,336,1.2237320963044709,1.1419055237885216,9,1.191851796899925
Les Cévennes,Prés d'Arènes,373,1.2523228925150858,1.0929509504033048,12,1.1804906987368518
Mosson,Centre,1559,1.2645528896592426,1.1024315226764825,30,1.15490964549727
Mosson,Croix d'Argent,102,1.280031141197288,1.0915171063657008,4,1.1611356478998354
Mosson,Hôpitaux-Facultés,360,1.408461759382853,1.1584161950255418,8,1.3195396833090005
Mosson,Les Cévennes,234,1.3515667943860792,1.225269477462526,3,1.294206207423917
Mosson,Port Marianne,70,1.170611944517883,1.1314843814594044,3,1.163409399815947
Mosson,Prés d'Arènes,190,1.1758854210108,1.0831846650140018,4,1.1131251315664377
Port Marianne,Centre,15967,1.7685084974410226,1.1097740703849015,90,1.2889037813055393
Port Marianne,Croix d'Argent,1216,1.3548712228120023,1.1433932613285656,12,1.274812869734627
Port Marianne,Hôpitaux-Facultés,1652,1.3948975242287212,1.1099739894399967,24,1.2414832312305826
Port Marianne,Les Cévennes,488,1.2631008401599575,1.1342205752601058,9,1.1962416806153395
Port Marianne,Mosson,146,1.1481035412654157,1.1024799348579375,3,1.1303410476622786
Port Marianne,Port Marianne,1462,1.4444158553642037,1.3181488194126123,6,1.34564119792701
Port Marianne,Prés d'Arènes,1853,2.010593138424821,1.1947675702895495,12,1.4746716304719658
Prés d'Arènes,Centre,11151,2.80646813763614,1.0208147584797318,120,1.4967445530129477
Prés d'Arènes,Croix d'Argent,1459,1.9156779164470576,1.1551765667516614,16,1.479028297144896
Prés d'Arènes,Hôpitaux-Facultés,1270,1.49203283100649,1.1002022519121266,32,1.2516848977488342
Prés d'Arènes,Les Cévennes,387,1.2917322890426148,1.1331469889356032,12,1.1952566927725803
Prés d'Arènes,Mosson,127,1.1881401464650132,1.1048518414701176,4,1.1410425936061468
Prés d'Arènes,Port Marianne,2347,1.9708945808563316,1.2044312720170869,12,1.4656271142955712
Prés d'Arènes,Prés d'Arènes,4561,2.1822621708520487,1.0454580584159852,12,1.7192270368020073
