ville_source,IMD_source,ville_pair,IMD_pair,distance_composante,delta_IMD
Montreuil-Bellay,0.2251,Reims,0.4266,0.5127,0.2015
Grenoble,0.2265,Vichy,0.4485,0.5139,0.222
Tarbes,0.2709,Niort,0.4213,0.3873,0.1504
Châtellerault,0.2835,Vichy,0.4485,0.4841,0.165
Saint-Nazaire,0.3014,PAU,0.4539,0.4431,0.1525
Cherbourg-en-Cotentin,0.3017,Niort,0.4213,0.28,0.1196
Strasbourg,0.3095,Vichy,0.4485,0.3362,0.139
Saint-Étienne,0.3212,Landerneau,0.4392,0.2588,0.118
Besançon,0.3289,Vichy,0.4485,0.3015,0.1196
Ardenne Métropole,0.3301,Landerneau,0.4392,0.2524,0.1091
Lyon,0.3392,Vichy,0.4485,0.4801,0.1093
Annecy,0.3449,Landerneau,0.4392,0.2486,0.0943
Angers,0.3599,Vichy,0.4485,0.3935,0.0886
Laon,0.3673,Niort,0.4213,0.1345,0.054
Auxerre,0.3715,Landerneau,0.4392,0.3239,0.0677
Louviers,0.3738,Épinal,0.4475,0.2947,0.0737
Chantrerie,0.3759,Nantes,0.7376,,0.3617
Valence,0.3767,Landerneau,0.4392,0.1722,0.0625
Libourne,0.3804,Épinal,0.4475,0.2276,0.0671
Brive-la-Gaillarde,0.3806,Niort,0.4213,0.1405,0.0407
Caen,0.3818,Landerneau,0.4392,0.1282,0.0574
Royan,0.3918,PAU,0.4539,0.2085,0.0621
Soissons,0.3956,Niort,0.4213,0.1058,0.0257
Avignon,0.3983,Reims,0.4266,0.1325,0.0283
Calais,0.4079,Niort,0.4213,0.157,0.0134
Agen,0.408,Mulhouse,0.4454,0.0954,0.0374
Brest,0.4153,Vichy,0.4485,0.09,0.0332
Cholet,0.4168,Reims,0.4266,0.1347,0.0098
Longwy,0.4185,Épinal,0.4475,0.2057,0.029
