rang,city,IMD,rang_normatif,rang_critic,rang_opt_fub,rang_opt_emp,rang_opt_comb
1,Nantes,0.7376,1,1,3,4,3
2,Nancy,0.682,2,5,17,16,16
3,Rennes,0.6608,3,3,5,5,5
4,Amiens,0.6586,4,7,18,18,18
5,Périgueux,0.6387,5,15,15,17,17
6,Carcassonne,0.6124,6,9,19,45,19
7,Bordeaux,0.6078,7,2,1,1,1
8,Auray,0.5966,8,10,21,20,20
9,La Roche-sur-Yon,0.5965,9,11,6,8,7
10,Paris,0.5858,10,8,8,9,8
11,Lille,0.5843,11,4,7,6,6
12,Marseille,0.5702,12,6,2,2,2
13,Argelès-sur-Mer,0.5692,13,12,22,33,22
14,Bourg-en-Bresse,0.5238,14,16,23,26,23
15,Cergy-Pontoise,0.5224,15,19,24,22,26
16,Toulouse,0.5043,16,13,10,10,10
17,Dijon,0.5037,17,21,26,29,27
18,La Baule,0.4996,18,17,25,28,24
19,Belfort,0.4921,19,14,9,12,9
20,Saint-Brieuc,0.4847,20,24,27,25,29
21,Clermont-Ferrand,0.4611,21,23,29,30,30
22,PAU,0.4539,22,32,31,21,36
24,Vichy,0.4485,23,22,11,7,11
25,Épinal,0.4475,24,18,28,19,25
26,Mulhouse,0.4454,25,27,32,31,33
27,Landerneau,0.4392,26,29,30,27,31
28,Troyes,0.4378,27,26,34,48,35
29,Reims,0.4266,28,34,36,47,40
30,Niort,0.4213,29,30,35,43,34
32,Longwy,0.4185,30,20,33,32,28
33,Cholet,0.4168,31,39,38,34,43
34,Brest,0.4153,32,35,12,11,12
35,Agen,0.408,33,38,41,39,42
36,Calais,0.4079,34,28,37,41,38
37,Avignon,0.3983,35,43,43,42,48
38,Soissons,0.3956,36,33,39,54,39
39,Royan,0.3918,37,47,48,24,50
40,Caen,0.3818,38,42,44,40,45
41,Brive-la-Gaillarde,0.3806,39,44,47,52,46
42,Libourne,0.3804,40,25,40,44,32
43,Valence,0.3767,41,41,46,37,44
45,Louviers,0.3738,42,31,42,50,37
46,Auxerre,0.3715,43,37,45,35,41
47,Laon,0.3673,44,45,49,53,47
48,Angers,0.3599,45,40,13,15,13
49,Pointe-à-Pitre,0.3594,46,46,50,49,49
50,Annecy,0.3449,47,50,51,36,51
51,Lyon,0.3392,48,36,4,3,4
52,Ardenne Métropole,0.3301,49,51,52,51,52
53,Besançon,0.3289,50,48,14,13,14
54,Saint-Étienne,0.3212,51,52,53,55,53
55,Strasbourg,0.3095,52,49,16,14,15
56,La Réunion,0.3054,53,54,55,56,55
57,Cherbourg-en-Cotentin,0.3017,54,53,54,57,54
58,Saint-Nazaire,0.3014,55,57,56,38,57
59,Châtellerault,0.2835,56,58,58,46,58
60,Tarbes,0.2709,57,55,57,58,56
61,Grenoble,0.2265,58,56,20,23,21
62,Montreuil-Bellay,0.2251,59,59,59,59,59
